pageName,diffURL,editor,lineDelta,comment
"Association for Mormon Letters","http://en.wikipedia.org/w/index.php?diff=630001738&oldid=629949128","uq495lfy",176,"ref fix"
"Amedée Roy Stadium","http://en.wikipedia.org/w/index.php?diff=630001740&oldid=630001548","vh8cg0sr",318,""
"Sean Patrick Thomas","http://en.wikipedia.org/w/index.php?diff=630001741&oldid=628333172","172.20.226.32",530,""
"List of political parties in Malta","http://en.wikipedia.org/w/index.php?diff=630001742&oldid=610539730","172.16.144.115",-3,"/* Parliamentary parties */"
"K. Shivaram Karanth","http://en.wikipedia.org/w/index.php?diff=630001745&oldid=630001489","172.23.72.79",-44,"/* Career */ cp"
"Patsey (12 Years a Slave)","http://en.wikipedia.org/w/index.php?diff=630001748&oldid=629149649","0aufyss6",-5,"- unneeded italics"
"Nancy (Oliver Twist)","http://en.wikipedia.org/w/index.php?diff=630001750&oldid=630001728","u1hle4xa",0,"/* Description */"
"Ministry of Transport","http://en.wikipedia.org/w/index.php?diff=630001752&oldid=630001561","172.25.58.79",2,""
"Mary Mouser","http://en.wikipedia.org/w/index.php?diff=630001754&oldid=629123842","172.23.234.192",92,"Her new role on ABC show Scandal"
"Universidad Católica del Uruguay Dámaso Antonio Larrañaga","http://en.wikipedia.org/w/index.php?diff=630001753&oldid=615166974","peh2thuc",28,"/* External links */"
"Play Ball","http://en.wikipedia.org/w/index.php?diff=630001755&oldid=612906309","1wzh29hq",27,""
"List of potato dishes","http://en.wikipedia.org/w/index.php?diff=630001756&oldid=630001503","vojxh84d",428,"/* Potato dishes */ Expanding article: copy from [[Gamjatang]]. cwe."
"Chelli","http://en.wikipedia.org/w/index.php?diff=630001757&oldid=630001743","a77uppvc",0,"/* See also */ See also [[Chelly]]"
"International Olympiad on Astronomy and Astrophysics","http://en.wikipedia.org/w/index.php?diff=630001758&oldid=629534473","172.28.183.180",-271,"/* Prizewinners */"
"Yugo-Vostochny","http://en.wikipedia.org/w/index.php?diff=630001759&oldid=630001458","v9uk38qd",130,"+see also"
"Spanish cuisine","http://en.wikipedia.org/w/index.php?diff=630001760&oldid=629999020","172.22.246.23",299,"/* Spanish regional variation: typical dishes */"
"Justice","http://en.wikipedia.org/w/index.php?diff=630001763&oldid=629995480","5uritlg5",29,"Undid revision 629995480 by [[Special:Contributions/128.135.100.108|128.135.100.108]] ([[User talk:128.135.100.108|talk]])they have address the issue, not just tried"
"Clarence (2014 TV series)","http://en.wikipedia.org/w/index.php?diff=630001766&oldid=629936015","172.25.42.88",-11,"Cartoon Network has not licensed this screenshot. Also, if there is to be a .png file that features the main characters behind a transparent background, it can be added accordingly to this topic."
"Hilton Root","http://en.wikipedia.org/w/index.php?diff=630001772&oldid=615221544","83gk2qli",40,"[[Wikipedia:Authority control]]."
"Emacs","http://en.wikipedia.org/w/index.php?diff=630001773&oldid=630001124","xfwglncq",56,"rewerd"
"Frédéric Chopin","http://en.wikipedia.org/w/index.php?diff=630001779&oldid=629998980","172.23.100.125",-6,"/* Franz Liszt */"
"List of White Pass and Yukon Route locomotives and cars","http://en.wikipedia.org/w/index.php?diff=630001794&oldid=629985759","k3ohjlzj",12,"/* Existing White Pass Freight Cars and On-Rail Maintenance Equipment */"
"Cecilia Curbelo","http://en.wikipedia.org/w/index.php?diff=630001796&oldid=630001683","peh2thuc",31,"added [[Category:Women journalists]] using [[WP:HC|HotCat]]"
"Gábor Tóth","http://en.wikipedia.org/w/index.php?diff=630001798&oldid=627802069","tk6ldtzi",-3,""
"List of professional designations in the United States","http://en.wikipedia.org/w/index.php?diff=630001810&oldid=630001663","172.25.129.123",14,"/* Religion and Theology */"
"Amedée Roy Stadium","http://en.wikipedia.org/w/index.php?diff=630001815&oldid=630001740","vh8cg0sr",-317,""
"Lady Antebellum discography","http://en.wikipedia.org/w/index.php?diff=630001818&oldid=630001735","172.31.141.121",1,"/* Other appearances */"
"2014 Israel–Gaza conflict","http://en.wikipedia.org/w/index.php?diff=630001819&oldid=630001313","3xmdgbw7",507,"/* On Gaza residents */ residents denied misuse of mosques, A.P says"
"Hell in a Cell (2014)","http://en.wikipedia.org/w/index.php?diff=630001820&oldid=629987851","172.17.217.115",346,"/* Matches */"
"Cecilia Curbelo","http://en.wikipedia.org/w/index.php?diff=630001821&oldid=630001796","peh2thuc",30,"added [[Category:Women columnists]] using [[WP:HC|HotCat]]"
"Ice protection system","http://en.wikipedia.org/w/index.php?diff=630001822&oldid=630001369","172.20.101.52",2,"/* TKS Ice Protection */"
"Chelly","http://en.wikipedia.org/w/index.php?diff=630001824&oldid=630001471","a77uppvc",27,"See also [[Chelli]]"
"2016: Obama's America","http://en.wikipedia.org/w/index.php?diff=630001825&oldid=629998490","52ltadrs",-26,"Undid revision 629998490 by [[Special:Contributions/23.122.141.12|23.122.141.12]] ([[User talk:23.122.141.12|talk]]) source?"
"Blood chit","http://en.wikipedia.org/w/index.php?diff=630001826&oldid=626838050","172.16.205.136",-177,"/* United States armed forces */"
"United States House of Representatives elections in Maine, 2014","http://en.wikipedia.org/w/index.php?diff=630001829&oldid=629650902","7tvfo6ey",388,"/* District 2 */ adding GOPers for Cain; removing duplication, though not sure if it should be here or there"
"Southeast (disambiguation)","http://en.wikipedia.org/w/index.php?diff=630001830&oldid=571653364","v9uk38qd",59,"/* See also */ +1"
"Disney Princess","http://en.wikipedia.org/w/index.php?diff=630001831&oldid=629990582","7222cq4v",1654,""
"Melissa Claire Egan","http://en.wikipedia.org/w/index.php?diff=630001832&oldid=627743691","172.24.176.69",-1,"used surname"
"Albatross","http://en.wikipedia.org/w/index.php?diff=630001839&oldid=629643345","172.23.79.36",-248,"Minor grammar edits, removed redundant sentence."
"Big Sha","http://en.wikipedia.org/w/index.php?diff=630001840&oldid=630001466","0pv9ozv9",204,""
"List of British generals and brigadiers","http://en.wikipedia.org/w/index.php?diff=630001843&oldid=629054998","92x9aaz8",33,"/* A */ John Worthington Adams to table"
"Bangalore Days","http://en.wikipedia.org/w/index.php?diff=630001844&oldid=629302398","ydsa4gbq",-28,""
"Claudio Monteverdi","http://en.wikipedia.org/w/index.php?diff=630001845&oldid=630001196","t0yt6glv",0,"/* Sacred contrafacta */"
"List of The Big Bang Theory characters","http://en.wikipedia.org/w/index.php?diff=630001846&oldid=630000857","4h7o3thg",205,"/* Character appearance summary */ We have to be correct in how we refer to characters/cast. Penny is the character. Reworded ""additional main characters' for accuracy"
"Spanish–American War","http://en.wikipedia.org/w/index.php?diff=630001848&oldid=630001591","172.17.12.195",10,""
"Defending the Devil","http://en.wikipedia.org/w/index.php?diff=630001849&oldid=630001476","jfdnu0ef",-32,"infobox"
"Snowboarding","http://en.wikipedia.org/w/index.php?diff=630001850&oldid=628595565","172.21.35.205",0,"/* History */"
"Bence Jagodics","http://en.wikipedia.org/w/index.php?diff=630001851&oldid=627802110","tk6ldtzi",-2,""
"Paraguay","http://en.wikipedia.org/w/index.php?diff=630001852&oldid=629573042","172.30.242.107",-2,""
"Tree credits","http://en.wikipedia.org/w/index.php?diff=630001855&oldid=630000055","oz1udzog",-21,"Undid revision 630000055 by [[Special:Contributions/Royston.nantes|Royston.nantes]] ([[User talk:Royston.nantes|talk]]) [[WP:ELNO]]"
"Dalit literature","http://en.wikipedia.org/w/index.php?diff=630001856&oldid=629422878","xyrivsoo",109,"/* Andhra Pradesh (Telugu) */"
"Cecilia Curbelo","http://en.wikipedia.org/w/index.php?diff=630001858&oldid=630001821","peh2thuc",24,"/* References */"
"2014–15 FC Petrolul Ploiești season","http://en.wikipedia.org/w/index.php?diff=630001859&oldid=630001307","m0cy7ed5",203,"/* Transfers */"
"Njan Ninne Marakkilla","http://en.wikipedia.org/w/index.php?diff=630001860&oldid=628697771","11nc69gv",1139,""
"Karl Benz","http://en.wikipedia.org/w/index.php?diff=630001868&oldid=628889594","172.30.230.118",23,"/* Early life */"
"Mahika Sharma","http://en.wikipedia.org/w/index.php?diff=630001871&oldid=629996430","0b9s3apn",2106,""
"Allium unifolium","http://en.wikipedia.org/w/index.php?diff=630001872&oldid=603576237","tdjgn88d",214,"added BSBI English name with ref"
"Miss World","http://en.wikipedia.org/w/index.php?diff=630001873&oldid=629785812","5b646q6b",-84,"/* Titleholders */"
"Arthur Kill Vertical Lift Bridge","http://en.wikipedia.org/w/index.php?diff=630001875&oldid=627295005","79ecqjgr",-3,"Corrected several tenses"
"Louis Bonaparte","http://en.wikipedia.org/w/index.php?diff=630001876&oldid=625453398","172.16.121.199",72,""
"Eugene Goostman","http://en.wikipedia.org/w/index.php?diff=630001879&oldid=625206448","i9fzwv9b",83,"Added hidden recommendation or comment. Thanks"
"NorthEast United FC","http://en.wikipedia.org/w/index.php?diff=630001880&oldid=629992760","s7zest5x",0,"/* Indian Super League 2014 */"
"MapQuest","http://en.wikipedia.org/w/index.php?diff=630001882&oldid=618454084","172.22.198.199",324,"/* Services and programs */"
"List of Fairy Tail episodes","http://en.wikipedia.org/w/index.php?diff=630001885&oldid=626382916","172.27.244.18",249,"/* English */"
"Tamás Nagy (footballer born 1988)","http://en.wikipedia.org/w/index.php?diff=630001886&oldid=627802376","tk6ldtzi",0,""
"USS Northampton (CLC-1)","http://en.wikipedia.org/w/index.php?diff=630001887&oldid=604850096","tti0uluu",-8,"/* ""Floating White House"" */ removed definite articles before ship names per MOS"
"Than","http://en.wikipedia.org/w/index.php?diff=630001888&oldid=619874639","g97cxn28",14,"+hatnote"
"Play Ball","http://en.wikipedia.org/w/index.php?diff=630001890&oldid=630001755","1wzh29hq",73,""
"Werburgh","http://en.wikipedia.org/w/index.php?diff=630001891&oldid=624801472","172.19.223.197",48,"/* Legends */"
"Abel Buades","http://en.wikipedia.org/w/index.php?diff=630001895&oldid=625381882","nnvm6b77",375,"Moved to Almansa."
"Imagine Dragons","http://en.wikipedia.org/w/index.php?diff=630001897&oldid=629690954","5f0wcs2k",-12,"Itunes says ""Las Vegas-based indie rockers Imagine Dragons formed in Provo, Utah in 2009"" so they are indie rocker. :)"
"Deventer railway station","http://en.wikipedia.org/w/index.php?diff=630001900&oldid=630001442","172.16.24.243",40,"/* Regional services */ new line in Dec. 12: line 160"
"NewsWhip","http://en.wikipedia.org/w/index.php?diff=630001902&oldid=593866775","rj4ukx2r",1114,""
"Oyler High School","http://en.wikipedia.org/w/index.php?diff=630001906&oldid=612055797","172.19.17.217",-3,""
"List of Iris species","http://en.wikipedia.org/w/index.php?diff=630001907&oldid=630000158","6690sydz",423,"/* Subgenus Iris */ added more Regelia Irises from Pacific Iris Society Iris Summary"
"Malaysian Army","http://en.wikipedia.org/w/index.php?diff=630001908&oldid=629989208","172.28.138.14",2,"/* Infantry Weapons */"
"Smokescreen (film)","http://en.wikipedia.org/w/index.php?diff=630001909&oldid=629434117","cobaqthn",247,"Filled in 3 reference(s) with [[User:Zhaofeng Li/Reflinks]]"
"Bernardo Frizoni","http://en.wikipedia.org/w/index.php?diff=630001910&oldid=627802162","tk6ldtzi",0,""
"Bangalore Days","http://en.wikipedia.org/w/index.php?diff=630001913&oldid=630001844","ydsa4gbq",-17,""
"Hell in a Cell (2014)","http://en.wikipedia.org/w/index.php?diff=630001915&oldid=630001820","172.27.66.110",10,"/* Matches */"
"Miss World 2015","http://en.wikipedia.org/w/index.php?diff=630001917&oldid=630001600","5b646q6b",-29,""
"Paraguay","http://en.wikipedia.org/w/index.php?diff=630001918&oldid=630001869","172.18.80.40",-2,""
"Rawa Mazowiecka","http://en.wikipedia.org/w/index.php?diff=630001919&oldid=620675633","jr5okms8",31,"/* References */ update"
"2014–15 Granada CF season","http://en.wikipedia.org/w/index.php?diff=630001920&oldid=629983435","xaf8qooa",170,"/* Matches */"
"Newlyweds","http://en.wikipedia.org/w/index.php?diff=630001921&oldid=558785230","lqidn26b",4,"link primary topic"
"Cincinnati/Northern Kentucky International Airport","http://en.wikipedia.org/w/index.php?diff=630001922&oldid=630000476","nw0yvs93",2,"/* Top destinations */"
"Imvanex","http://en.wikipedia.org/w/index.php?diff=630001923&oldid=629678279","uh6i6h9x",20,"Set CSID to NA"
"Hamsa Geetham","http://en.wikipedia.org/w/index.php?diff=630001925&oldid=628697643","11nc69gv",1208,""
"Motion History Images","http://en.wikipedia.org/w/index.php?diff=630001927&oldid=625793681","172.21.9.17",59,""
"Reindeer","http://en.wikipedia.org/w/index.php?diff=630001930&oldid=628958365","172.31.163.65",52,"/* Diet */"
"Rome dela Rosa","http://en.wikipedia.org/w/index.php?diff=630001931&oldid=628592346","gxp5fchv",22,""
"List of Scott & Bailey episodes","http://en.wikipedia.org/w/index.php?diff=630001934&oldid=629940481","jjzmu9st",2489,"/* Series 4 (2014) */"
"Nissan","http://en.wikipedia.org/w/index.php?diff=630001935&oldid=629593575","qpd899yf",-12,"Consistency with info box; legal name remains Nissan Motor Co., Ltd - see discussion page"
"Die Freiheitlichen","http://en.wikipedia.org/w/index.php?diff=630001937&oldid=629998568","0aw3bvah",711,"Pallaver does not use the term ""Freedomites"", but ""Freiheitliche"", both in the German and the Italian version; full refs"
"Mike Small (golfer)","http://en.wikipedia.org/w/index.php?diff=630001936&oldid=617877259","hc4c1ah4",36,"/* Professional career */"
"List of translators into English","http://en.wikipedia.org/w/index.php?diff=630001938&oldid=617254697","eomqb4yp",19,""
"Lagoon","http://en.wikipedia.org/w/index.php?diff=630001943&oldid=621792378","n7ya4iyv",249,"/* Images */"
"2014 Israel–Gaza conflict","http://en.wikipedia.org/w/index.php?diff=630001944&oldid=630001819","3xmdgbw7",506,"/* On Gaza residents */"
"Wickett, Texas","http://en.wikipedia.org/w/index.php?diff=630001947&oldid=621738819","172.30.151.76",4,"/* History */"
"Economy of North Korea","http://en.wikipedia.org/w/index.php?diff=630001948&oldid=630001439","6ichmtqo",2,"/* Power and energy */ Copyedit (minor)"
"2013 Grand Prix motorcycle racing season","http://en.wikipedia.org/w/index.php?diff=630001949&oldid=630001535","s9jzhcps",0,"/* Championship standings */"
"2014 BGL Luxembourg Open – Singles","http://en.wikipedia.org/w/index.php?diff=630001951&oldid=629996070","9x3wmjt0",12,"/* Draw */"
"Marián Sluka","http://en.wikipedia.org/w/index.php?diff=630001952&oldid=626313511","tk6ldtzi",0,""
"Richard Coyle","http://en.wikipedia.org/w/index.php?diff=630001957&oldid=624274795","oei27az3",-6,"/* Early and personal life */"
"United States Senate election in Arkansas, 2014","http://en.wikipedia.org/w/index.php?diff=630001958&oldid=629758090","bzn2ouhc",337,"/* Polling */ Add new Rasmussen poll"
"Islamic State of Iraq and the Levant","http://en.wikipedia.org/w/index.php?diff=630001959&oldid=630000896","hgibedxz",-181,"Undid revision 629955821 by [[Special:Contributions/Gregkaye|Gregkaye]] ([[User talk:Gregkaye|talk]]) That doesn't"
"Amagi Brilliant Park","http://en.wikipedia.org/w/index.php?diff=630001960&oldid=629989578","eurrbb26",38,"/* Characters */"
"American Garlic","http://en.wikipedia.org/w/index.php?diff=630001961&oldid=283147249","tdjgn88d",32,"R cat"
"Snowboarding","http://en.wikipedia.org/w/index.php?diff=630001963&oldid=630001850","172.21.174.131",0,"/* History */"
"The Biggest Loser: Glory Days","http://en.wikipedia.org/w/index.php?diff=630001965&oldid=629976701","172.26.207.104",42,"/* Weigh-Ins */"
"Marilyn Manson","http://en.wikipedia.org/w/index.php?diff=630001969&oldid=629655218","172.16.75.166",59,""
"Giselda Zani","http://en.wikipedia.org/w/index.php?diff=630001970&oldid=577330748","peh2thuc",6,"removed [[Category:Uruguayan writers]]; added [[Category:Uruguayan women writers]] using [[WP:HC|HotCat]]"
"Big Sha","http://en.wikipedia.org/w/index.php?diff=630001971&oldid=630001840","0pv9ozv9",1,""
"The Exorcism of Emily Rose","http://en.wikipedia.org/w/index.php?diff=630001973&oldid=629739799","6gls80gm",2,"/* Plot */ commas"
"Mard (1998 film)","http://en.wikipedia.org/w/index.php?diff=630001976&oldid=610961490","zqk153hz",243,""
"Susan Rose-Ackerman","http://en.wikipedia.org/w/index.php?diff=630001980&oldid=622300305","83gk2qli",54,"[[Wikipedia:Authority control]]."
"The Art Institute of Colorado","http://en.wikipedia.org/w/index.php?diff=630001981&oldid=618897157","172.31.18.217",32,"/* School Presidents */"
"Tom Morello","http://en.wikipedia.org/w/index.php?diff=630001982&oldid=628773005","dq73rl16",20,""
"Krisztián Kenesei","http://en.wikipedia.org/w/index.php?diff=630001989&oldid=627802213","tk6ldtzi",0,""
"Itha Oru Dhikkari","http://en.wikipedia.org/w/index.php?diff=630001991&oldid=628671798","11nc69gv",1216,""
"Android Auto","http://en.wikipedia.org/w/index.php?diff=630001992&oldid=628722647","172.21.159.111",82,"/* See also */"
"Chris Evans (actor)","http://en.wikipedia.org/w/index.php?diff=630001993&oldid=629976926","6e9zrs2n",1,""
"List of Fairy Tail episodes","http://en.wikipedia.org/w/index.php?diff=630001994&oldid=630001885","172.29.6.162",0,"/* English */"
"Arthur Smith (priest)","http://en.wikipedia.org/w/index.php?diff=630001995&oldid=630001661","0auunjp4",-18,"Y2K"
"Ice protection system","http://en.wikipedia.org/w/index.php?diff=630001996&oldid=630001822","172.31.236.231",-23,"/* TKS Ice Protection */"
"Depeche Mode discography","http://en.wikipedia.org/w/index.php?diff=630001998&oldid=629649991","172.18.100.222",0,""
"Ebola virus disease cases in Spain","http://en.wikipedia.org/w/index.php?diff=630001999&oldid=629990798","172.16.128.205",1,"/* Medical personnel infection */"
"List of political families in the Philippines","http://en.wikipedia.org/w/index.php?diff=630002001&oldid=628440434","39p1svhe",-12,""
"Siemens Mobility","http://en.wikipedia.org/w/index.php?diff=630002002&oldid=621218940","172.29.4.64",43,"/* Products */"
"Kapkote","http://en.wikipedia.org/w/index.php?diff=630002003&oldid=629686177","172.23.146.37",49,"/* See More */"
"Lady's Workbox, 1808","http://en.wikipedia.org/w/index.php?diff=630002005&oldid=630001496","ncnu027c",-4,"/* References */ oops"
"Baritone","http://en.wikipedia.org/w/index.php?diff=630002006&oldid=625368016","172.22.220.25",50,"/* 19th century */"
"Consett Iron Company","http://en.wikipedia.org/w/index.php?diff=630002007&oldid=629771634","h0i3dwkf",-1,"/* Legacy */"
"Scottish cuisine","http://en.wikipedia.org/w/index.php?diff=630002008&oldid=630001141","4tgx1fw2",-1,"/* Dairy */ ce"
"Whitesnake (album)","http://en.wikipedia.org/w/index.php?diff=630002009&oldid=627375722","rc4z5ah3",-19,""
"Prathamesh Mokal","http://en.wikipedia.org/w/index.php?diff=630002012&oldid=629994707","0g5d414g",9,""
"St. John's, Newfoundland and Labrador","http://en.wikipedia.org/w/index.php?diff=630002016&oldid=629909709","p6penelb",7,"Added links"
"Masked shrike","http://en.wikipedia.org/w/index.php?diff=630002017&oldid=629735828","ts2z3v1c",28,"/* Behaviour */"
"Hamsa Geetham","http://en.wikipedia.org/w/index.php?diff=630002018&oldid=630001925","11nc69gv",8,""
"2014 Kremlin Cup – Women's Singles","http://en.wikipedia.org/w/index.php?diff=630002019&oldid=629997019","9x3wmjt0",5,"/* Top Half */"
"Isle of Escape","http://en.wikipedia.org/w/index.php?diff=630002020&oldid=611866027","fz7c17fr",4,""
"Martyn Evans","http://en.wikipedia.org/w/index.php?diff=630002021&oldid=626804863","wjpvrfbv",-36,"fix"
"Caledonian Union","http://en.wikipedia.org/w/index.php?diff=630002022&oldid=610042301","172.23.234.155",172,"/* History */ Adding a reference to the official site of The Congress of New Caledonia"
"Caramel","http://en.wikipedia.org/w/index.php?diff=630002023&oldid=620072018","zijm09xc",22,"Swedish ""karamell"" is hard candy and not caramell"
"The Rhode Island System","http://en.wikipedia.org/w/index.php?diff=630002024&oldid=629246673","g8lvgako",-33,"rm {{coord missing}}—not a location"
"Graham James (ice hockey)","http://en.wikipedia.org/w/index.php?diff=630002026&oldid=628851860","i5tp323u",-8,"fix"
"Big Sha","http://en.wikipedia.org/w/index.php?diff=630002029&oldid=630001971","0pv9ozv9",1,""
"Claudio Monteverdi","http://en.wikipedia.org/w/index.php?diff=630002030&oldid=630001845","t0yt6glv",-85,"/* References */"
"172nd New York State Legislature","http://en.wikipedia.org/w/index.php?diff=630002033&oldid=629994455","qd0zuidx",-207,"/* Assemblymen */"
"Mard (1998 film)","http://en.wikipedia.org/w/index.php?diff=630002034&oldid=630001976","zqk153hz",-2,""
"List of White Pass and Yukon Route locomotives and cars","http://en.wikipedia.org/w/index.php?diff=630002037&oldid=630001794","k3ohjlzj",17,"/* Existing White Pass Freight Cars and On-Rail Maintenance Equipment */"
"Webcomic","http://en.wikipedia.org/w/index.php?diff=630002038&oldid=625631872","t3nxx6zw",19,"/* See also */"
"Andrei Coroian","http://en.wikipedia.org/w/index.php?diff=630002039&oldid=627802252","tk6ldtzi",-3,""
"Pizhala","http://en.wikipedia.org/w/index.php?diff=630002040&oldid=629998764","v16avkf3",595,"/* Culture */"
"Renaissance (band)","http://en.wikipedia.org/w/index.php?diff=630002042&oldid=630001086","r7jm2aj5",2,"Undid revision 630001086 by [[Special:Contributions/207.97.167.162|207.97.167.162]] ([[User talk:207.97.167.162|talk]])"
"Scouts' Own","http://en.wikipedia.org/w/index.php?diff=630002045&oldid=587824498","iu74kyo9",1009,"/* History */ Added origins of interfaith aspect"
"USS Des Moines (CA-134)","http://en.wikipedia.org/w/index.php?diff=630002047&oldid=624434659","tti0uluu",19,"/* Decommissioning */added missing italics"
"Grazia (India)","http://en.wikipedia.org/w/index.php?diff=630002051&oldid=600322312","0iime718",-112,"remove copyright content copied from http://www.afaqs.com/news/story/20132_Worldwide-Media-to-launch-fashion-magazine-Grazia"
"Stevie Nicks discography","http://en.wikipedia.org/w/index.php?diff=630002052&oldid=629876295","172.25.165.163",1,"/* Studio albums */"
"Petrus Cunaeus","http://en.wikipedia.org/w/index.php?diff=630002055&oldid=629982970","x130tmzk",12,"removed [[Category:Protestant philosophers]]; added [[Category:Calvinist and Reformed philosophers]] using [[WP:HC|HotCat]]"
"Njan Ninne Marakkilla","http://en.wikipedia.org/w/index.php?diff=630002056&oldid=630001860","11nc69gv",8,""
"Michael Almebäck","http://en.wikipedia.org/w/index.php?diff=630002058&oldid=585202152","5es7k6nq",-21,""
"Jerome Lowenthal","http://en.wikipedia.org/w/index.php?diff=630002060&oldid=577766997","grwswv7y",478,"added refs"
"The Art Institute of Colorado","http://en.wikipedia.org/w/index.php?diff=630002062&oldid=630001981","172.29.168.186",4,""
"Delgosha Garden","http://en.wikipedia.org/w/index.php?diff=630002066&oldid=610514823","ipqkx9lq",-26,""
"Sue Monroe","http://en.wikipedia.org/w/index.php?diff=630002067&oldid=629875777","172.28.137.176",837,""
"Milan Bogunović","http://en.wikipedia.org/w/index.php?diff=630002069&oldid=627802280","tk6ldtzi",0,""
"Giselda Zani","http://en.wikipedia.org/w/index.php?diff=630002070&oldid=630002044","peh2thuc",29,"added [[Category:Uruguayan poets]] using [[WP:HC|HotCat]]"
"Moule & Polyzoides","http://en.wikipedia.org/w/index.php?diff=630002072&oldid=629507309","172.26.33.246",-353,"/* Notable Staff */"
"Churchkey","http://en.wikipedia.org/w/index.php?diff=630002077&oldid=619189844","172.17.61.32",44,"/* Etymology */"
"Giselda Zani","http://en.wikipedia.org/w/index.php?diff=630002078&oldid=630002070","peh2thuc",43,"added [[Category:Uruguayan short story writers]] using [[WP:HC|HotCat]]"
"Rava-Ruska","http://en.wikipedia.org/w/index.php?diff=630002079&oldid=629148165","jr5okms8",16,"/* Notable people */ update"
"Nancy (Oliver Twist)","http://en.wikipedia.org/w/index.php?diff=630002081&oldid=630001750","u1hle4xa",774,"/* Description */"
"Lithuanian litas","http://en.wikipedia.org/w/index.php?diff=630002083&oldid=625901391","172.27.15.149",12,""
"Marilyn Manson","http://en.wikipedia.org/w/index.php?diff=630002086&oldid=630001969","lzlokqme",-59,"Reverted 1 pending edit by [[Special:Contributions/50.202.18.22|50.202.18.22]] to revision 629655218 by NeilN: rvv"
"Hell in a Cell (2014)","http://en.wikipedia.org/w/index.php?diff=630002087&oldid=630001915","172.20.187.64",13,"/* Matches */"
"Csaba Csizmadia","http://en.wikipedia.org/w/index.php?diff=630002088&oldid=627802308","tk6ldtzi",0,""
"Cincinnati/Northern Kentucky International Airport","http://en.wikipedia.org/w/index.php?diff=630002092&oldid=630001922","nw0yvs93",-1,"/* Top destinations */"
"Kapkote","http://en.wikipedia.org/w/index.php?diff=630002095&oldid=630002003","172.20.221.50",-19,"/* See More */"
"Butterfly effect","http://en.wikipedia.org/w/index.php?diff=630002096&oldid=629946183","p3u8aic8",1108,"/* Theory and mathematical definition */ illustrative case"
"Carlos Tomás","http://en.wikipedia.org/w/index.php?diff=630002098&oldid=625430863","nnvm6b77",75,"Moved to Arroyo."
"Sokh River","http://en.wikipedia.org/w/index.php?diff=630002099&oldid=603369672","4vj4yllg",-4,""
"English translations of Homer","http://en.wikipedia.org/w/index.php?diff=630002100&oldid=630001678","2i8orpoj",295,"/* Late 19th century (c. 1875 – c. 1900) */"
"Visham","http://en.wikipedia.org/w/index.php?diff=630002102&oldid=628697404","11nc69gv",1480,""
"Giselda Zani","http://en.wikipedia.org/w/index.php?diff=630002106&oldid=630002078","peh2thuc",25,"added [[Category:Women poets]] using [[WP:HC|HotCat]]"
"Saša Popin","http://en.wikipedia.org/w/index.php?diff=630002109&oldid=627802340","tk6ldtzi",0,""
"F. A. Sampson","http://en.wikipedia.org/w/index.php?diff=630002110&oldid=606284440","92x9aaz8",-5,"Category:Royal Canadian Air Force officers"
"John A. Hartwell","http://en.wikipedia.org/w/index.php?diff=630002113&oldid=627235506","z1o66wh3",2012,"Writings"
"Grazia (India)","http://en.wikipedia.org/w/index.php?diff=630002115&oldid=630002051","0iime718",40,"fix dead link"
"Athletic Bilbao","http://en.wikipedia.org/w/index.php?diff=630002120&oldid=629937722","fjd43d76",113,""
"Play Ball","http://en.wikipedia.org/w/index.php?diff=630002125&oldid=630001890","1wzh29hq",65,""
"Pandalam","http://en.wikipedia.org/w/index.php?diff=630002127&oldid=629881457","zpa8g5ze",-14,"/* History */ Corrected unsourced info"
"José Luis González Dávila","http://en.wikipedia.org/w/index.php?diff=630002129&oldid=572792712","vz97ss6r",6,"Intro"
"List of Fairy Tail episodes","http://en.wikipedia.org/w/index.php?diff=630002130&oldid=630001994","172.23.142.3",0,"/* English */"
"Pizhala","http://en.wikipedia.org/w/index.php?diff=630002131&oldid=630002040","v16avkf3",-3,"/* Culture */"
"Giselda Zani","http://en.wikipedia.org/w/index.php?diff=630002133&oldid=630002106","peh2thuc",39,"added [[Category:Women short story writers]] using [[WP:HC|HotCat]]"
"Googie architecture","http://en.wikipedia.org/w/index.php?diff=630002134&oldid=623849665","ccdbtpwc",6,"bold alternate name"
"Milán Faggyas","http://en.wikipedia.org/w/index.php?diff=630002136&oldid=627802133","tk6ldtzi",0,""
"Kira Kazantsev","http://en.wikipedia.org/w/index.php?diff=630002137&oldid=630001310","g36qovj9",-41,""
"Visham","http://en.wikipedia.org/w/index.php?diff=630002140&oldid=630002102","11nc69gv",-21,"/* Soundtrack */"
"Anurag Kashyap","http://en.wikipedia.org/w/index.php?diff=630002142&oldid=630001609","wzghm27l",31,""
"List of political families in the Philippines","http://en.wikipedia.org/w/index.php?diff=630002148&oldid=630002001","39p1svhe",0,""
"Giselda Zani","http://en.wikipedia.org/w/index.php?diff=630002150&oldid=630002133","peh2thuc",27,"added [[Category:Women critics]] using [[WP:HC|HotCat]]"
"XEmacs","http://en.wikipedia.org/w/index.php?diff=630002152&oldid=626255986","xfwglncq",-1,"/* XEmacs and GNU Emacs */ join para"
"Mard (1998 film)","http://en.wikipedia.org/w/index.php?diff=630002153&oldid=630002034","zqk153hz",0,""
"Highest grossing Tamil movies","http://en.wikipedia.org/w/index.php?diff=630002154&oldid=629957535","172.23.50.248",0,""
