casename,Lot,Wafer,Outcome,FailureCode,SNSR1_C1,SNSR1_C2,SNSR1_C3,SNSR1_C4,SNSR1_C5,SNSR1_C6,SNSR1_C7,SNSR1_C8,SNSR1_C9,SNSR1_C10,SNSR1_C11,SNSR1_C12,SNSR1_C13,SNSR1_C14,SNSR1_C15,SNSR2_C1,SNSR2_C2,SNSR2_C3,SNSR2_C4,SNSR2_C5,SNSR2_C6,SNSR2_C7,SNSR2_C8,SNSR2_C9,SNSR2_C10,SNSR2_C11,SNSR2_C12,SNSR2_C13,SNSR2_C14,SNSR2_C15,SNSR3_C1,SNSR3_C2,SNSR3_C3,SNSR3_C4,SNSR3_C5,SNSR3_C6,SNSR3_C7,SNSR3_C8,SNSR3_C9,SNSR3_C10,SNSR3_C11,SNSR3_C12,SNSR3_C13,SNSR3_C14,SNSR3_C15,SNSR4_C1,SNSR4_C2,SNSR4_C3,SNSR4_C4,SNSR4_C5,SNSR4_C6,SNSR4_C7,SNSR4_C8,SNSR4_C9,SNSR4_C10,SNSR4_C11,SNSR4_C12,SNSR4_C13,SNSR4_C14,SNSR4_C15,SNSR5_C1,SNSR5_C2,SNSR5_C3,SNSR5_C4,SNSR5_C5,SNSR5_C6,SNSR5_C7,SNSR5_C8,SNSR5_C9,SNSR5_C10,SNSR5_C11,SNSR5_C12,SNSR5_C13,SNSR5_C14,SNSR5_C15,SNSR6_C1,SNSR6_C2,SNSR6_C3,SNSR6_C4,SNSR6_C5,SNSR6_C6,SNSR6_C7,SNSR6_C8,SNSR6_C9,SNSR6_C10,SNSR6_C11,SNSR6_C12,SNSR6_C13,SNSR6_C14,SNSR6_C15
50,B#3251,W#07,0,normal,-5,-5,605,603,-5,484,552,551,551,551,551,551,551,551,-5,-18,-18,-8,-18,-18,300,20,-50,-50,-50,-50,-51,-52,-52,-18,32,2333,2464,2400,256,1382,1392,1395,1395,1398,1398,1398,1398,1392,614,1,1,2047,2047,1,551,1245,1277,1292,1304,1309,1309,1150,1139,2,-11,-11,975,563,-11,394,973,974,962,951,952,994,981,962,-11,0,0,-1,-1,-1,25,-80,-111,-113,-113,-113,-111,-105,-105,0
51,B#3251,W#09,0,normal,-5,-5,606,604,-5,556,550,551,551,551,551,550,550,550,-4,-18,-18,29,-18,-18,72,-49,-49,-49,-50,-49,-49,-51,-51,-18,32,2390,2445,2400,1133,1386,1389,1392,1392,1392,1392,1398,1395,1398,986,1,1,2047,2047,1,1212,1252,1276,1296,1310,1311,1308,1141,1128,4,-11,-11,987,490,-11,898,978,977,958,955,953,983,974,951,-9,0,0,0,1,-1,0,-106,-111,-112,-113,-113,-107,-105,-104,0
52,B#3251,W#10,0,normal,-5,-5,605,604,-4,552,551,551,551,552,552,551,550,550,19,-18,-18,67,-53,-18,68,-47,-49,-49,-49,-49,-49,-50,-50,-18,32,2314,2464,2400,899,1386,1392,1392,1389,1392,1395,1398,1398,1398,1392,1,1,2047,2047,2,1132,1248,1275,1293,1305,1306,1304,1142,1132,166,-11,-11,941,584,-11,786,975,976,960,949,948,985,976,954,126,0,0,0,-19,0,0,-105,-111,-113,-113,-113,-107,-104,-104,0
53,B#3251,W#11,0,normal,-5,-5,608,604,-5,556,552,551,551,552,550,550,550,550,-4,-18,-18,44,-18,-18,329,-44,-46,-46,-46,-46,-46,-47,-47,-17,51,2349,2458,2406,611,1389,1392,1398,1392,1392,1395,1398,1395,1395,979,1,1,2047,2047,1,1205,1244,1276,1292,1302,1306,1300,1138,1129,4,-11,-12,969,536,-11,890,970,968,958,953,951,988,972,952,-9,0,0,0,-1,0,27,-106,-110,-112,-112,-113,-106,-104,-104,0
54,B#3251,W#12,0,normal,-5,-5,605,603,-5,552,550,551,551,551,550,551,550,550,-4,-18,-18,637,-18,-18,19,-45,-46,-46,-46,-46,-46,-47,-47,-17,42,2333,2445,2406,186,1386,1386,1392,1392,1392,1392,1392,1395,1395,614,1,1,2047,2047,1,1213,1250,1274,1291,1306,1310,1308,1138,1129,2,-11,-11,957,560,-11,907,977,976,955,949,951,995,973,951,-11,0,0,-1,0,0,0,-107,-111,-112,-113,-113,-107,-105,-104,0
55,B#3251,W#13,0,normal,-5,-5,605,604,-5,550,552,550,551,551,551,551,551,551,-5,-17,-18,52,-18,-18,64,-44,-47,-47,-46,-48,-48,-48,-18,-18,38,2400,2470,2394,1203,1392,1395,1389,1392,1395,1395,1395,1395,1392,448,1,1,2047,2047,1,1216,1251,1275,1292,1300,1305,1304,1140,1131,1,-11,-11,953,478,-11,935,973,966,953,949,951,996,973,953,-11,0,0,-22,0,0,0,-107,-111,-112,-112,-113,-107,-105,-6,0
56,B#3251,W#14,0,normal,-5,-5,605,603,-5,554,552,551,552,551,551,551,551,551,-3,-18,-18,35,-18,-18,62,-45,-47,-47,-47,-48,-47,-48,-49,-18,32,2355,2451,2400,806,1386,1389,1392,1392,1392,1395,1395,1398,1395,1373,1,1,2047,2047,1,1212,1251,1273,1293,1304,1308,1307,1142,1133,19,-11,-11,963,505,-11,918,973,971,952,949,947,989,973,954,4,0,0,0,1,0,0,-106,-111,-112,-112,-112,-107,-104,-104,0
57,B#3251,W#16,0,normal,-5,-5,604,604,-5,552,551,550,551,551,551,550,550,550,-5,-17,-18,49,-18,-18,66,-44,-44,-46,-46,-47,-46,-47,-17,-17,32,2400,2438,2400,1050,1389,1398,1395,1392,1392,1392,1392,1395,1398,448,1,1,2047,2047,1,1217,1246,1274,1292,1304,1304,1303,1137,1128,1,-11,-11,975,488,-11,936,967,960,953,949,946,996,972,952,-11,0,0,-1,-1,0,0,-108,-111,-112,-112,-112,-106,-104,-6,0
58,B#3251,W#17,0,normal,-5,-5,604,604,-5,555,552,551,552,551,551,551,551,551,-4,-18,-18,59,-17,-18,82,-46,-46,-47,-47,-47,-47,-47,-47,-18,51,2397,2467,2400,1238,1389,1395,1395,1392,1395,1395,1398,1395,1395,973,1,1,2047,2047,1,1209,1250,1277,1294,1307,1308,1308,1144,1129,4,-11,-11,951,463,-11,915,973,969,958,953,951,995,977,952,-9,0,0,-21,1,0,0,-107,-111,-112,-113,-113,-107,-105,-104,0
59,B#3251,W#18,0,normal,-5,-5,605,604,-5,553,551,551,552,551,551,552,550,550,19,-18,-18,69,-18,-18,71,-45,-47,-47,-47,-47,-47,-48,-48,-18,42,2355,2467,2403,806,1392,1389,1392,1392,1392,1389,1395,1395,1395,1389,1,1,2047,2047,1,1210,1250,1272,1290,1304,1308,1308,1145,1132,163,-11,-11,944,508,-11,912,974,974,955,948,956,991,978,955,123,0,0,0,-1,0,0,-107,-111,-112,-113,-113,-107,-104,-104,0
60,B#3251,W#19,0,normal,-5,-5,605,604,-5,542,552,551,551,551,551,551,551,551,-5,-18,-18,616,-18,-18,120,26,-47,-47,-47,-48,-47,-48,-48,-18,70,2307,2470,2413,608,1389,1389,1392,1392,1395,1392,1392,1395,1395,614,1,1,2047,2047,1,848,1246,1271,1290,1300,1307,1306,1154,1129,2,-11,-11,945,564,-11,581,973,971,958,949,949,988,982,951,-11,0,0,0,0,0,0,-80,-111,-112,-112,-113,-108,-105,-104,0
61,B#3251,W#21,0,normal,-5,-5,606,603,-5,555,551,551,552,551,551,551,551,551,-3,-18,-18,33,-18,-18,81,-47,-46,-46,-47,-47,-46,-48,-48,-18,32,2368,2464,2400,800,1386,1392,1392,1398,1395,1395,1398,1395,1392,1363,1,1,2047,2047,1,1214,1248,1272,1290,1305,1306,1307,1144,1135,19,-11,-11,984,505,-11,918,968,965,952,947,949,990,978,960,4,0,0,-1,2,0,0,-107,-111,-112,-113,-113,-106,-106,-105,0
62,B#3251,W#22,0,normal,-5,-5,607,603,-5,556,552,552,551,552,551,551,550,551,-4,-18,-18,33,-18,-18,84,-46,-48,-48,-48,-48,-47,-49,-49,-18,70,2400,2454,2400,1130,1389,1398,1392,1392,1389,1395,1395,1398,1395,986,1,1,2047,2047,1,1209,1250,1274,1292,1305,1305,1302,1142,1132,4,-11,-11,962,476,-11,914,971,970,957,953,950,993,976,956,-9,0,-1,-1,1,0,0,-106,-111,-112,-113,-113,-107,-104,-104,0
63,B#3251,W#23,0,normal,-5,-5,606,604,-5,556,552,551,552,551,551,551,550,551,-3,-18,-18,34,-19,-19,82,-45,-47,-47,-47,-47,-48,-49,-49,-18,32,2326,2467,2403,592,1382,1395,1392,1395,1395,1389,1398,1398,1398,1357,1,1,2047,2047,1,1213,1245,1275,1288,1302,1308,1306,1137,1129,19,-11,-11,981,531,-11,916,962,965,951,943,949,988,974,953,5,0,0,0,1,0,0,-106,-111,-112,-112,-112,-106,-104,-104,0
64,B#3251,W#24,0,normal,-5,-5,604,603,-5,553,552,551,552,551,551,552,551,551,-5,-18,-18,54,-19,-18,70,-44,-47,-47,-47,-47,-47,-48,-18,-18,70,2394,2464,2403,1219,1392,1392,1392,1392,1395,1392,1395,1402,1395,451,1,1,2047,2047,1,1216,1256,1278,1294,1304,1307,1306,1132,1126,1,-11,-11,934,463,-11,931,966,964,956,947,952,990,965,949,-11,0,0,-21,0,0,0,-107,-111,-112,-112,-113,-106,-104,-7,0
65,B#3251,W#25,0,normal,-5,-5,605,604,-5,553,550,552,550,551,551,551,551,552,-4,-18,-18,897,-18,-18,301,-46,-47,-48,-47,-47,-47,-48,-48,-18,70,2298,2445,2400,186,1389,1392,1392,1392,1392,1392,1395,1392,1395,621,1,1,2047,2047,1,1096,1243,1271,1288,1302,1305,1304,1135,1129,1,-11,-12,928,609,-11,732,965,966,953,947,949,989,972,953,-11,0,0,0,-1,0,25,-105,-111,-112,-112,-113,-106,-105,-104,0
66,B#3252,W#01,0,normal,-5,604,604,-4,-4,556,551,551,552,551,551,551,551,551,-5,-15,51,-48,-15,-14,82,-46,-44,-45,-45,-45,-44,-46,-17,-17,2131,2458,2403,870,1382,1392,1389,1392,1395,1395,1395,1395,1395,1395,429,1,2047,2047,2,1,1235,1265,1282,1295,1306,1307,1305,1132,1130,1,-11,893,513,-11,-12,943,956,948,941,937,940,993,957,944,-11,0,0,-18,0,0,-1,-111,-112,-113,-113,-113,-106,-106,-2,0
67,B#3252,W#02,0,normal,-5,-5,606,603,-5,556,552,551,552,551,551,551,550,551,-4,-16,-16,47,-16,-16,67,-44,-46,-46,-47,-47,-47,-48,-45,-17,42,2397,2438,2400,1187,1386,1392,1395,1392,1398,1398,1398,1389,1395,1008,1,1,2047,2047,1,1211,1246,1269,1284,1296,1300,1300,1145,1132,4,-11,-11,1003,478,-11,908,961,957,942,936,937,985,977,952,-9,0,0,-21,1,0,0,-108,-112,-112,-112,-112,-108,-106,-105,0
68,B#3252,W#03,0,normal,-5,-5,604,603,-5,558,551,552,552,551,552,551,550,550,549,-17,-17,819,-16,-16,298,-45,-46,-45,-45,-45,-45,-47,-47,-17,42,2307,2445,2403,611,1386,1392,1392,1392,1392,1392,1392,1392,1395,1392,1,1,2047,2047,1,1213,1249,1271,1288,1302,1307,1304,1144,1130,1126,-11,-11,965,567,-11,901,966,963,946,941,945,989,975,950,946,0,0,0,0,0,24,-107,-111,-112,-112,-113,-108,-105,-104,0
69,B#3252,W#04,0,normal,-5,-5,606,604,-5,555,551,552,551,552,551,550,550,550,-4,-17,-17,46,-16,-17,85,-45,-47,-47,-46,-47,-47,-48,-48,-17,54,2394,2448,2406,1139,1386,1389,1389,1392,1395,1395,1395,1395,1395,982,1,1,2047,2047,1,1218,1259,1278,1294,1305,1309,1304,1145,1136,4,-11,-11,969,486,-11,933,976,972,952,945,944,985,976,958,-9,0,0,0,1,0,0,-109,-112,-113,-113,-114,-108,-105,-105,0
70,B#3252,W#05,0,normal,-5,-5,606,604,-5,556,552,551,552,550,551,551,550,551,-4,-17,-18,41,-17,-17,73,-43,-46,-46,-46,-46,-45,-47,-47,-17,32,2371,2458,2397,1146,1389,1386,1389,1392,1392,1392,1392,1392,1389,611,1,1,2047,2047,1,1219,1253,1275,1290,1301,1305,1302,1139,1136,2,-11,-11,978,507,-11,933,974,968,947,941,942,992,970,958,-11,0,0,-1,1,0,0,-108,-112,-112,-112,-113,-107,-106,-105,0
71,B#3252,W#06,0,normal,-5,-5,606,604,-5,555,552,552,551,551,551,550,550,550,-4,-17,-18,34,-18,-18,83,-45,-47,-46,-47,-47,-46,-47,-47,-17,32,2387,2448,2400,1130,1392,1389,1392,1392,1392,1395,1392,1395,1395,611,1,1,2047,2047,1,1217,1256,1274,1292,1304,1305,1302,1137,1128,2,-11,-11,972,487,-11,933,967,959,942,938,941,991,966,949,-11,0,0,-1,1,0,0,-108,-112,-112,-112,-112,-106,-105,-104,0
72,B#3252,W#07,0,normal,-5,604,603,604,-5,555,552,551,551,552,551,551,550,550,-4,-18,52,-36,-18,-18,82,-44,-46,-46,-46,-46,-46,-47,-47,-17,32,2458,2413,2400,1325,1392,1395,1392,1392,1395,1392,1392,1395,1398,979,1,2047,2047,2047,1,1220,1256,1282,1298,1308,1308,1307,1142,1140,4,-11,818,950,450,-11,938,975,964,952,946,946,996,974,962,-9,0,0,-21,0,0,0,-108,-112,-113,-113,-114,-107,-105,-104,0
73,B#3252,W#08,0,normal,-5,-5,606,603,-5,556,551,552,551,550,550,551,550,551,-4,-17,-18,42,-17,-17,82,-44,-46,-45,-46,-46,-46,-47,-47,-17,54,2378,2435,2403,1126,1389,1392,1392,1395,1398,1395,1395,1392,1395,621,1,1,2047,2047,1,1217,1251,1272,1283,1304,1305,1305,1138,1132,1,-11,-11,975,511,-11,930,965,960,940,940,940,985,969,952,-11,0,0,0,1,0,0,-108,-111,-111,-111,-112,-106,-105,-104,0
74,B#3252,W#09,1,5000A normal poly,-5,-5,604,603,-5,555,551,551,551,551,552,551,550,550,-4,-17,-17,74,-18,-17,82,-45,-46,-46,-47,-47,-46,-48,-48,-18,51,2451,2445,2403,1190,1389,1392,1392,1392,1395,1395,1395,1392,1395,986,1,1,2047,2047,1,1220,1257,1276,1291,1302,1304,1302,1139,1133,3,-11,-11,951,461,-11,937,970,963,944,939,938,981,967,953,-9,0,0,-21,0,0,0,-108,-111,-112,-112,-112,-106,-105,-104,0
75,B#3252,W#10,0,normal,-5,-5,605,604,-5,556,550,552,551,551,551,550,550,550,-4,-17,-17,50,-18,-18,85,-45,-46,-45,-46,-46,-46,-48,-48,-18,32,2333,2464,2400,797,1386,1389,1392,1392,1392,1392,1395,1395,1395,992,1,1,2047,2047,1,1211,1247,1271,1290,1301,1303,1301,1142,1129,4,-11,-11,949,505,-11,913,965,962,946,940,938,983,974,950,-9,0,0,0,0,0,-1,-107,-111,-112,-112,-112,-107,-104,-104,0
76,B#3252,W#11,0,normal,-5,-5,604,604,-5,550,550,552,551,551,551,551,552,550,19,-18,-18,726,-18,-18,123,-45,-46,-46,-46,-47,-46,-45,-48,-18,70,2336,2454,2403,691,1389,1395,1395,1392,1395,1392,1392,1395,1395,1392,1,1,2047,2047,1,1127,1240,1271,1287,1301,1308,1308,1148,1129,165,-11,-11,941,574,-11,781,963,963,947,940,943,991,979,950,125,0,0,0,-1,0,0,-105,-111,-112,-112,-113,-108,-105,-104,0
77,B#3252,W#12,0,normal,-5,-5,607,603,-5,557,552,552,551,551,551,550,550,550,19,-18,-18,34,-18,-18,304,-45,-46,-46,-46,-46,-47,-48,-48,-18,32,2368,2467,2400,1123,1389,1392,1395,1395,1395,1395,1395,1395,1395,1389,1,1,2047,2047,1,1213,1254,1277,1291,1299,1303,1302,1143,1134,166,-11,-11,983,482,-11,923,976,975,950,941,942,980,972,955,126,0,0,0,1,0,25,-107,-112,-112,-112,-113,-107,-105,-104,0
78,B#3252,W#14,0,normal,-5,-5,608,603,-5,557,551,551,551,551,551,550,550,550,550,-18,-18,45,-18,-18,77,-46,-47,-46,-47,-46,-47,-47,-47,-18,42,2378,2467,2406,1133,1389,1395,1395,1395,1395,1392,1395,1395,1392,1389,1,1,2047,2047,1,1210,1247,1274,1290,1305,1306,1304,1144,1128,1128,-11,-11,962,502,-11,920,970,960,953,946,945,985,973,947,948,0,0,0,1,0,0,-106,-110,-111,-113,-113,-107,-104,-104,0
79,B#3252,W#15,0,normal,-5,-5,606,604,-5,556,550,551,551,551,551,551,550,550,549,-18,-18,46,-18,-18,302,-47,-46,-46,-47,-47,-47,-47,-48,-18,32,2349,2448,2403,826,1386,1389,1392,1395,1392,1395,1395,1392,1395,1395,1,1,2047,2047,1,1208,1247,1268,1291,1306,1307,1307,1154,1124,1122,-11,-11,960,534,-11,897,967,964,947,945,945,987,981,945,942,0,0,-1,0,0,25,-106,-110,-111,-112,-113,-108,-104,-103,0
80,B#3252,W#16,0,normal,-5,-5,605,604,-5,556,552,551,551,551,551,550,550,550,-4,-18,-18,53,-18,-18,84,-46,-47,-48,-47,-47,-47,-48,-49,-18,54,2394,2467,2400,1171,1392,1395,1389,1389,1392,1392,1395,1395,1392,992,1,1,2047,2047,1,1218,1251,1277,1293,1302,1303,1298,1133,1129,4,-11,-11,970,475,-11,937,966,962,953,945,944,984,964,950,-9,0,0,-22,2,0,0,-108,-111,-112,-112,-112,-106,-104,-104,0
81,B#3252,W#17,0,normal,-5,-5,606,603,-5,555,551,551,551,551,551,550,550,550,550,-18,-18,36,-18,-18,295,-45,-47,-47,-47,-47,-46,-47,-48,-18,32,2339,2448,2406,787,1389,1392,1398,1395,1392,1392,1398,1398,1392,1386,1,1,2047,2047,1,1211,1247,1267,1288,1301,1303,1300,1148,1133,1133,-11,-11,960,525,-11,903,966,963,943,940,938,980,974,953,953,0,0,0,-1,0,25,-106,-111,-111,-112,-113,-108,-105,-105,0
82,B#3252,W#18,0,normal,-5,-5,606,603,-5,552,551,552,551,551,551,551,551,551,20,-18,-18,29,-18,-18,123,-47,-47,-47,-46,-48,-48,-48,-47,-18,70,2374,2474,2400,1094,1389,1389,1392,1392,1392,1389,1392,1392,1389,1386,1,1,2047,2047,1,1205,1245,1268,1292,1302,1305,1304,1148,1129,165,-11,-11,971,478,-11,900,964,963,948,944,943,989,976,948,125,0,0,0,0,0,0,-106,-111,-111,-112,-113,-108,-105,-104,0
83,B#3252,W#19,0,normal,-5,-5,604,604,-5,553,551,551,551,551,551,551,551,551,551,-18,-18,3,-18,-18,301,-46,-48,-48,-47,-48,-48,-48,-49,-18,38,2320,2438,2400,611,1386,1392,1392,1392,1392,1395,1395,1395,1392,1392,1,1,2047,2047,1,1210,1245,1272,1293,1301,1305,1302,1150,1129,1126,-11,-11,974,541,-11,900,967,966,954,948,945,988,978,950,946,0,-1,0,0,0,25,-106,-111,-112,-112,-113,-108,-104,-104,0
84,B#3252,W#20,0,normal,-5,-5,607,604,-5,557,552,551,551,551,551,551,551,551,-4,-18,-18,40,-18,-18,87,-45,-48,-48,-48,-49,-49,-49,-49,-18,54,2390,2448,2400,1200,1392,1392,1392,1392,1389,1392,1392,1392,1392,614,1,1,2047,2047,1,1211,1250,1274,1291,1304,1304,1304,1135,1132,2,-11,-11,967,483,-11,926,971,966,947,944,944,994,969,957,-11,0,0,-1,1,0,0,-107,-111,-112,-112,-112,-106,-105,-104,0
85,B#3252,W#21,0,normal,-5,604,603,604,-5,556,551,551,551,552,552,550,550,550,-4,-18,47,-40,-18,-18,81,-45,-46,-46,-46,-46,-46,-48,-47,-18,51,2474,2426,2403,1315,1389,1392,1392,1392,1392,1392,1392,1392,1392,979,1,2047,2047,2047,1,1221,1258,1280,1296,1309,1309,1305,1139,1134,4,-11,822,960,454,-11,941,974,966,951,948,947,997,972,958,-9,0,0,-21,0,0,0,-109,-112,-112,-113,-113,-107,-105,-104,0
86,B#3252,W#22,0,normal,-5,-5,606,604,-5,555,552,552,551,551,551,551,551,551,-4,-18,-18,54,-18,-18,84,-45,-46,-46,-46,-47,-47,-48,-48,-18,42,2378,2442,2400,816,1389,1389,1392,1395,1395,1395,1395,1398,1398,992,1,1,2047,2047,1,1213,1251,1279,1290,1305,1308,1308,1144,1134,4,-11,-11,946,500,-11,917,973,968,951,944,946,997,980,957,-9,0,0,-1,1,0,0,-107,-111,-112,-113,-113,-108,-104,-104,0
87,B#3252,W#23,0,normal,-5,-5,605,604,-5,556,551,552,551,551,552,550,550,551,-4,-18,-18,719,-18,-18,305,-45,-45,-46,-46,-45,-46,-47,-46,-18,70,2320,2464,2400,611,1386,1389,1392,1392,1392,1395,1395,1392,1392,611,1,1,2047,2047,1,1213,1245,1271,1296,1305,1307,1305,1139,1131,2,-11,-11,972,569,-11,901,966,966,951,949,945,988,976,954,-11,0,0,0,0,0,26,-106,-111,-112,-113,-113,-107,-105,-104,0
88,B#3252,W#24,0,normal,-5,-5,606,604,-5,556,550,552,551,551,551,551,551,551,-4,-18,-18,50,-18,-18,301,-48,-46,-47,-47,-47,-47,-48,-48,-18,42,2381,2438,2406,816,1392,1395,1392,1392,1395,1395,1392,1395,1395,1005,1,1,2047,2047,1,1209,1252,1272,1287,1300,1304,1304,1143,1130,4,-11,-11,969,503,-11,911,969,965,947,939,943,1005,980,954,-9,0,0,0,1,0,25,-106,-111,-111,-112,-112,-108,-104,-104,0
89,B#3253,W#01,0,normal,-5,602,603,-4,553,551,552,552,551,550,551,551,550,550,-4,-15,-15,-15,-14,124,-48,-48,-48,-47,-47,-47,-48,-49,-17,-16,2102,2432,2397,1027,1389,1392,1392,1392,1389,1395,1392,1395,1398,1395,490,1,2047,2047,1,1216,1246,1268,1288,1301,1303,1305,1301,1131,1131,1,-11,907,455,-11,897,949,951,940,938,932,938,986,955,944,-11,0,0,-1,0,0,-108,-113,-113,-113,-113,-113,-107,-106,-6,0
90,B#3253,W#02,0,normal,-5,-5,607,604,-4,556,552,551,552,551,551,551,550,551,-4,-16,-16,24,-16,-16,69,-47,-49,-49,-49,-49,-49,-51,-51,-17,32,2384,2438,2400,794,1389,1395,1395,1392,1395,1395,1392,1389,1392,982,1,1,2047,2047,1,1211,1248,1271,1289,1300,1307,1306,1146,1133,4,-11,-11,982,511,-11,904,956,956,944,936,941,986,975,953,-9,0,0,0,1,0,-1,-108,-112,-112,-113,-113,-108,-106,-105,0
91,B#3253,W#03,0,normal,-5,-5,604,603,-4,558,550,551,550,551,551,551,550,551,-4,-17,-17,618,-16,-16,294,-46,-48,-49,-49,-49,-49,-50,-50,-17,54,2307,2445,2406,186,1389,1392,1392,1398,1392,1392,1392,1395,1392,979,1,1,2047,2047,1,1213,1249,1267,1285,1304,1306,1304,1142,1134,4,-11,-11,953,566,-11,896,963,963,942,938,939,988,974,954,-9,0,0,0,0,0,25,-106,-112,-112,-112,-113,-108,-106,-106,0
92,B#3253,W#04,0,normal,-5,-5,604,603,-4,554,550,551,551,551,551,551,550,551,-4,-17,-17,715,-16,-16,298,-48,-49,-49,-49,-48,-49,-50,-50,-17,42,2317,2474,2406,614,1386,1389,1392,1395,1395,1392,1398,1398,1395,614,1,1,2047,2047,1,1097,1244,1268,1293,1305,1309,1304,1140,1134,2,-11,-11,964,570,-11,739,967,967,945,944,943,985,969,954,-11,0,0,0,0,0,25,-106,-111,-112,-112,-113,-107,-105,-104,0
93,B#3253,W#05,0,normal,-5,-5,605,604,-5,552,551,551,551,552,551,550,550,550,550,-17,-17,51,-16,-17,120,-48,-49,-49,-49,-49,-50,-51,-51,-17,54,2394,2442,2400,1222,1392,1392,1392,1392,1389,1392,1395,1395,1398,1395,1,1,2047,2047,1,1096,1245,1272,1291,1302,1304,1300,1155,1132,1129,-11,-11,953,485,-11,736,971,966,950,944,940,983,981,953,949,0,0,0,1,0,0,-106,-111,-112,-113,-113,-108,-106,-104,-1
94,B#3253,W#06,0,normal,-5,-5,604,603,-5,557,552,551,551,552,551,551,550,550,-4,-18,-18,48,-17,-18,74,-46,-46,-46,-46,-46,-46,-47,-47,-18,38,2390,2464,2400,1203,1389,1389,1395,1398,1398,1395,1392,1395,1395,1014,1,1,2047,2047,1,1212,1248,1264,1280,1292,1298,1298,1141,1130,4,-11,-11,970,469,-11,919,972,968,940,935,938,990,973,952,-9,0,0,-21,-1,0,0,-107,-111,-111,-111,-111,-107,-104,-104,0
95,B#3253,W#07,0,normal,-5,-5,605,604,-5,555,551,550,551,551,550,551,550,550,-4,-18,-18,31,-18,-18,82,-45,-47,-47,-47,-46,-46,-48,-48,-18,32,2394,2451,2403,1104,1389,1392,1395,1395,1392,1395,1395,1395,1395,1002,1,1,2047,2047,1,1212,1246,1271,1290,1300,1302,1301,1141,1130,4,-11,-11,960,484,-11,915,964,960,943,939,936,985,970,949,-9,0,0,0,1,0,0,-106,-110,-111,-112,-112,-107,-104,-104,0
96,B#3253,W#08,0,normal,-5,-5,604,603,-5,548,551,552,552,551,551,551,551,551,-3,-18,-18,527,-17,-17,59,-14,-46,-46,-46,-46,-47,-47,-48,-18,70,2326,2474,2403,707,1389,1389,1392,1392,1392,1392,1395,1395,1395,1373,1,1,2047,2047,1,969,1243,1265,1288,1301,1307,1301,1140,1127,19,-11,-11,917,564,-11,639,965,965,950,943,945,984,969,945,5,0,0,0,-1,0,0,-94,-110,-111,-112,-112,-107,-104,-103,0
97,B#3253,W#09,0,normal,-5,-5,604,604,-5,554,550,552,551,551,552,550,550,550,-5,-18,-18,11,-17,-18,327,-46,-46,-46,-46,-46,-46,-47,-47,-18,74,2333,2445,2400,806,1386,1392,1392,1395,1395,1392,1392,1398,1389,608,1,1,2047,2047,1,1207,1244,1273,1287,1301,1304,1303,1136,1130,2,-11,-11,971,541,-11,899,967,966,952,943,944,985,965,950,-11,0,0,0,-1,0,26,-106,-110,-111,-112,-112,-106,-104,-104,0
98,B#3253,W#10,0,normal,-5,-5,605,603,-5,556,550,551,551,551,551,551,551,551,-5,-18,-18,29,-18,-18,300,-44,-47,-47,-46,-48,-46,-48,-18,-18,51,2339,2464,2403,595,1389,1392,1395,1392,1392,1392,1395,1395,1392,451,1,1,2047,2047,1,1053,1246,1271,1289,1300,1306,1305,1145,1133,1,-11,-11,969,538,-11,688,972,970,956,948,948,996,987,963,-11,0,0,0,1,0,25,-106,-111,-113,-113,-113,-109,-105,-2,0
99,B#3253,W#11,0,normal,-5,605,604,604,-5,556,552,552,551,552,550,550,550,550,-4,-18,47,-39,-18,-18,84,-44,-45,-46,-46,-46,-46,-47,-47,-18,70,2467,2419,2403,1302,1392,1392,1392,1392,1392,1395,1395,1398,1395,986,1,2047,2047,2047,1,1217,1248,1272,1285,1298,1298,1298,1140,1129,4,-11,809,941,450,-11,935,968,964,946,939,938,984,972,952,-9,0,-1,-21,0,0,0,-108,-111,-112,-112,-112,-108,-105,-104,0
100,B#3253,W#12,0,normal,-5,-5,606,603,-5,556,550,551,552,551,551,550,550,550,-4,-18,-17,37,-18,-18,78,-46,-47,-46,-46,-46,-46,-47,-48,-18,70,2371,2438,2400,800,1386,1392,1392,1392,1392,1392,1392,1392,1392,989,1,1,2047,2047,1,1210,1246,1270,1289,1302,1304,1304,1140,1129,4,-11,-11,969,508,-11,918,966,965,947,940,941,988,972,951,-9,0,0,0,1,0,0,-107,-111,-112,-112,-112,-107,-105,-104,0
101,B#3253,W#14,0,normal,-5,-5,606,603,-5,553,551,551,551,551,551,551,552,551,551,-18,-18,29,-18,-18,311,-46,-46,-45,-46,-47,-46,-47,-47,-18,70,2394,2451,2403,1184,1389,1392,1395,1392,1395,1398,1395,1395,1395,1395,1,1,2047,2047,1,1090,1246,1271,1293,1305,1310,1310,1161,1129,1127,-11,-11,971,490,-11,731,969,969,956,946,945,997,987,950,946,0,0,-1,1,0,25,-105,-111,-112,-113,-113,-110,-105,-104,0
